(mnist_lab) zzm@autodl-container-a53c499c18-6d3fc5e8:~/LAB/lab4/src$ python /home/zzm/LAB/lab4/src/main.py
Some weights of the model checkpoint at /home/zzm/LAB/lab4/src/model_hub/chinese-bert-wwm-ext were not used when initializing BertModel: ['cls.predictions.transform.LayerNorm.weight', 'cls.predictions.transform.dense.bias', 'cls.seq_relationship.weight', 'cls.predictions.transform.LayerNorm.bias', 'cls.seq_relationship.bias', 'cls.predictions.bias', 'cls.predictions.decoder.weight', 'cls.predictions.transform.dense.weight']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
/home/zzm/miniconda3/envs/mnist_lab/lib/python3.10/site-packages/torch/nn/modules/rnn.py:1013: UserWarning: dropout option adds dropout after all but last recurrent layer, so non-zero dropout expects num_layers greater than 1, but got dropout=0.1 and num_layers=1
  super().__init__("LSTM", *args, **kwargs)
/home/zzm/miniconda3/envs/mnist_lab/lib/python3.10/site-packages/transformers/optimization.py:391: FutureWarning: This implementation of AdamW is deprecated and will be removed in a future version. Use the PyTorch implementation torch.optim.AdamW instead, or set `no_deprecation_warning=True` to disable this warning
  warnings.warn(
【train】1/1 1/834 loss:243.496262
【train】1/1 2/834 loss:189.443817
【train】1/1 3/834 loss:277.871002
【train】1/1 4/834 loss:219.849655
【train】1/1 5/834 loss:211.269089
【train】1/1 6/834 loss:174.638535
【train】1/1 7/834 loss:143.987976
【train】1/1 8/834 loss:57.378540
【train】1/1 9/834 loss:88.522606
【train】1/1 10/834 loss:87.756165
【train】1/1 11/834 loss:76.476936
【train】1/1 12/834 loss:80.343956
【train】1/1 13/834 loss:70.165276
【train】1/1 14/834 loss:81.636902
【train】1/1 15/834 loss:92.838882
【train】1/1 16/834 loss:79.272942
【train】1/1 17/834 loss:77.202415
【train】1/1 18/834 loss:46.591290
【train】1/1 19/834 loss:97.595291
【train】1/1 20/834 loss:71.311829
【train】1/1 21/834 loss:70.302597
【train】1/1 22/834 loss:71.182404
【train】1/1 23/834 loss:60.313919
【train】1/1 24/834 loss:54.649216
【train】1/1 25/834 loss:101.977440
【train】1/1 26/834 loss:60.553692
【train】1/1 27/834 loss:89.308685
【train】1/1 28/834 loss:58.501522
【train】1/1 29/834 loss:69.650558
【train】1/1 30/834 loss:69.054718
【train】1/1 31/834 loss:62.935223
【train】1/1 32/834 loss:68.944214
【train】1/1 33/834 loss:76.468567
【train】1/1 34/834 loss:75.761841
【train】1/1 35/834 loss:55.891319
【train】1/1 36/834 loss:40.403782
【train】1/1 37/834 loss:70.386391
【train】1/1 38/834 loss:46.066513
【train】1/1 39/834 loss:60.471264
【train】1/1 40/834 loss:44.589813
【train】1/1 41/834 loss:61.424255
【train】1/1 42/834 loss:61.487106
【train】1/1 43/834 loss:49.382584
【train】1/1 44/834 loss:44.853909
【train】1/1 45/834 loss:41.553799
【train】1/1 46/834 loss:58.085781
【train】1/1 47/834 loss:57.330093
【train】1/1 48/834 loss:33.160091
【train】1/1 49/834 loss:48.808655
【train】1/1 50/834 loss:27.789719
【train】1/1 51/834 loss:47.091812
【train】1/1 52/834 loss:33.779579
【train】1/1 53/834 loss:30.750601
【train】1/1 54/834 loss:47.570885
【train】1/1 55/834 loss:37.903328
